  106    16     1     2.10e-14     3.08e-14     7.80e-14     9.19e-14     1.23e-13     1.33e-13     2.41e-13     4.42e-13     5.70e-13     4.04e-13     2.88e-13     4.69e-14     4.24e-13     3.95e-13     6.17e-13     9.51e-14
  107    16     2     1.12e-13     9.36e-14     8.27e-14     5.01e-14     2.83e-13     5.49e-13     6.53e-13     3.33e-13     1.18e-12     9.23e-13     1.05e-12     9.86e-13     6.90e-13     7.08e-13     1.02e-12     1.90e-12
  108    16     3     8.79e-14     2.06e-13     3.46e-13     9.16e-13     1.41e-13     1.32e-12     1.92e-12     1.47e-12     7.65e-13     4.15e-13     3.72e-12     2.21e-12     1.38e-12     3.43e-12     1.30e-13     3.18e-12
  109    16     4     6.24e-13     2.38e-13     4.81e-13     2.23e-12     1.91e-12     1.56e-12     3.02e-12     1.58e-12     3.49e-12     3.81e-12     3.85e-13     4.69e-12     4.05e-12     3.16e-12     3.93e-12     3.70e-12
  110    16     5     1.64e-12     1.93e-12     1.43e-12     1.39e-12     1.98e-12     1.20e-12     2.92e-12     3.60e-12     4.01e-12     2.50e-12     3.10e-12     4.08e-12     5.70e-12     5.97e-12     5.39e-12     4.91e-12
  111    16     6     2.53e-12     2.22e-12     2.24e-12     5.49e-13     4.54e-12     4.38e-12     2.21e-12     3.59e-12     5.52e-12     4.67e-12     6.21e-12     3.31e-12     7.21e-12     7.63e-12     2.27e-12     1.10e-11
  112    16     7     1.15e-12     4.37e-12     6.05e-12     4.01e-12     7.25e-12     5.70e-12     2.77e-12     3.82e-12     6.34e-12     7.79e-12     7.34e-12     6.50e-12     7.29e-12     3.41e-12     8.63e-12     6.72e-12
  113    16     8     1.93e-12     5.38e-12     6.47e-12     1.72e-12     8.69e-12     8.33e-12     7.41e-12     5.80e-12     8.34e-12     7.47e-12     7.60e-12     1.27e-11     6.37e-12     5.18e-12     1.13e-11     1.70e-11
  114    16     9     7.82e-12     9.87e-12     3.87e-12     1.34e-11     8.83e-12     5.19e-12     9.36e-12     9.03e-12     6.04e-12     1.99e-11     7.62e-12     1.88e-11     8.52e-12     9.72e-12     9.35e-12     2.26e-11
  115    16    10     2.01e-11     1.60e-11     8.90e-12     1.57e-11     4.81e-12     9.28e-12     1.51e-11     1.81e-11     9.05e-12     2.70e-11     2.48e-11     2.34e-11     1.16e-11     1.46e-11     1.76e-11     2.29e-11
  116    16    11     2.80e-11     2.69e-11     8.67e-12     1.01e-11     4.90e-12     2.39e-11     2.56e-12     7.90e-12     2.74e-11     1.30e-11     1.05e-11     1.39e-11     2.60e-11     2.18e-11     1.44e-11     2.73e-11
  117    16    12     3.20e-11     2.06e-11     3.16e-11     2.77e-11     3.35e-11     1.27e-11     1.96e-11     3.55e-11     1.62e-11     7.82e-13     1.65e-11     3.34e-14     5.59e-11     5.41e-11     1.77e-11     6.52e-11
  118    16    13     6.73e-11     3.59e-11     6.94e-11     6.59e-12     2.38e-11     1.19e-12     2.07e-11     1.11e-13     4.25e-11     2.15e-11     2.68e-11     4.69e-11     4.50e-11     4.09e-11     4.44e-11     5.47e-11
  119    16    14     1.06e-10     5.47e-11     6.20e-11     9.20e-11     1.59e-11     9.56e-11     1.49e-11     6.03e-11     8.59e-11     6.64e-11     1.76e-10     5.79e-11     8.13e-11     2.83e-11     1.21e-10     1.02e-10
  120    16    15     4.29e-11     1.06e-10     1.05e-10     4.76e-11     9.58e-11     3.24e-11     6.23e-11     9.97e-11     4.41e-11     8.98e-11     8.45e-11     8.73e-11     1.13e-10     9.67e-11     7.65e-12     1.62e-11
  121    17     1     1.49e-14     8.82e-15     6.78e-14     7.64e-14     1.33e-13     1.68e-13     1.94e-13     1.48e-13     2.39e-13     2.55e-13     2.30e-13     1.91e-13     4.35e-13     5.06e-13     4.08e-13     6.34e-13
  122    17     2     3.98e-14     5.34e-14     6.92e-14     2.57e-13     5.44e-13     2.78e-13     7.15e-13     1.11e-13     9.08e-13     1.00e-12     1.45e-12     1.29e-12     5.63e-13     7.97e-13     1.47e-13     1.01e-12
  123    17     3     3.27e-14     1.84e-13     1.00e-14     8.75e-14     7.14e-13     1.21e-12     1.33e-12     1.14e-12     1.31e-12     8.52e-13     2.64e-12     2.55e-12     3.59e-13     1.81e-12     1.52e-12     1.13e-12
  124    17     4     4.17e-13     8.23e-14     3.05e-13     8.24e-13     1.43e-12     2.15e-12     2.24e-12     1.48e-12     9.38e-13     4.53e-13     6.35e-13     2.59e-12     8.66e-13     1.11e-12     3.20e-12     3.58e-12
  125    17     5     2.39e-13     8.18e-13     4.70e-13     1.57e-12     9.15e-13     2.52e-12     6.63e-13     1.90e-12     2.41e-12     3.31e-12     7.43e-12     3.64e-12     1.90e-12     3.50e-12     3.02e-12     7.60e-12
  126    17     6     1.19e-12     1.41e-13     1.75e-12     1.83e-12     4.31e-12     1.57e-12     2.46e-12     1.42e-12     3.37e-12     2.41e-12     2.33e-12     6.35e-13     4.41e-12     3.82e-12     4.77e-12     1.75e-12
  127    17     7     1.17e-12     1.83e-12     1.71e-12     3.63e-12     1.53e-12     8.32e-12     4.89e-12     6.39e-12     9.11e-12     1.01e-11     5.74e-12     4.80e-12     7.50e-12     5.95e-12     4.44e-12     2.63e-13
  128    17     8     2.13e-12     5.07e-12     1.45e-12     8.13e-12     4.45e-12     9.29e-12     2.66e-12     9.24e-12     3.67e-12     6.42e-12     3.73e-12     1.85e-12     1.56e-12     8.23e-12     1.05e-11     2.80e-12
  129    17     9     4.79e-12     8.23e-12     9.96e-12     7.50e-12     9.15e-12     1.34e-11     7.19e-12     1.24e-11     7.82e-12     6.88e-12     1.13e-11     9.28e-12     7.74e-12     1.50e-11     1.49e-11     8.75e-12
  130    17    10     6.33e-12     8.50e-12     3.11e-12     4.83e-12     1.38e-11     1.21e-11     1.94e-11     1.32e-11     1.35e-11     1.61e-11     9.07e-12     1.11e-11     3.21e-12     5.65e-12     6.85e-12     6.51e-12
  131    17    11     1.50e-11     7.05e-12     1.27e-11     1.58e-12     1.88e-11     2.43e-11     4.01e-12     2.11e-11     2.51e-12     1.46e-11     2.44e-11     2.44e-11     1.44e-11     1.60e-11     1.85e-11     1.05e-11
  132    17    12     2.62e-11     2.48e-11     3.48e-11     2.07e-11     2.23e-11     1.22e-11     2.17e-11     2.64e-11     2.33e-11     1.20e-11     3.92e-11     6.22e-12     1.61e-11     1.98e-11     3.58e-11     3.63e-12
  133    17    13     2.82e-11     3.50e-11     1.63e-11     2.10e-11     1.65e-11     2.63e-11     1.67e-11     8.78e-12     3.19e-11     1.50e-11     2.11e-11     4.07e-11     3.84e-12     2.29e-11     5.80e-11     3.40e-11
  134    17    14     4.04e-11     7.98e-11     5.43e-11     3.44e-11     2.35e-11     3.62e-11     3.52e-11     1.52e-11     2.34e-11     4.30e-11     2.51e-11     3.32e-11     9.71e-12     9.03e-11     4.18e-11     2.84e-11
  135    17    15     6.15e-11     5.20e-11     5.71e-11     5.52e-13     9.99e-11     7.33e-11     2.12e-11     5.93e-11     6.53e-11     1.02e-10     1.05e-10     1.75e-10     2.96e-11     3.41e-11     1.32e-10     1.03e-10
  136    17    16     1.23e-10     1.23e-10     7.48e-11     1.06e-10     2.67e-11     8.50e-11     2.53e-11     1.11e-10     7.88e-11     5.76e-11     9.79e-11     7.90e-12     7.01e-11     9.67e-11     1.21e-10     6.41e-11
  137    18     1     6.20e-15     1.27e-14     2.69e-14     5.41e-14     8.65e-14     5.56e-14     8.79e-14     1.77e-13     1.78e-15     1.76e-13     4.20e-13     4.39e-13     2.03e-13     1.42e-13     3.12e-13     3.17e-13
  138    18     2     5.20e-15     2.47e-14     7.69e-14     1.63e-13     4.61e-13     4.29e-13     5.72e-13     5.74e-13     4.92e-13     7.63e-13     1.35e-12     1.01e-12     1.56e-12     1.21e-12     1.21e-12     8.88e-13
  139    18     3     9.04e-14     7.21e-14     1.62e-13     3.55e-13     9.25e-14     8.27e-13     1.32e-13     3.89e-13     9.35e-13     2.21e-12     3.37e-13     1.35e-12     7.40e-13     1.78e-12     1.64e-12     9.13e-13
  140    18     4     1.14e-13     2.24e-13     5.77e-13     8.75e-13     1.37e-12     4.58e-13     1.22e-12     8.67e-13     1.67e-12     1.12e-12     1.48e-12     2.55e-12     2.72e-12     6.54e-13     1.48e-12     3.63e-12
  141    18     5     4.02e-13     3.89e-13     6.37e-13     1.10e-12     1.21e-12     1.91e-12     1.14e-12     1.39e-12     3.71e-12     5.66e-12     4.79e-12     3.01e-12     5.07e-12     4.07e-12     4.13e-12     1.74e-12
  142    18     6     6.97e-13     8.92e-13     2.41e-12     2.30e-12     2.47e-12     3.05e-12     3.90e-12     1.54e-12     5.03e-12     4.25e-12     3.63e-12     4.37e-12     3.59e-12     2.79e-12     3.19e-12     3.76e-12
  143    18     7     9.42e-13     6.92e-13     1.42e-12     3.95e-12     3.26e-12     3.72e-12     4.66e-13     3.53e-12     5.97e-12     8.26e-12     1.52e-12     3.58e-12     3.34e-12     9.31e-14     7.62e-12     1.10e-11
  144    18     8     3.46e-12     4.53e-12     3.15e-12     3.30e-12     4.75e-12     2.19e-12     8.85e-12     5.09e-12     1.25e-12     1.04e-11     4.70e-12     7.83e-12     9.43e-12     4.25e-12     6.27e-12     6.57e-12
  145    18     9     5.22e-12     3.93e-12     5.82e-12     3.57e-12     5.87e-12     6.13e-12     5.99e-12     3.37e-12     5.74e-12     8.03e-12     4.09e-12     6.56e-12     9.34e-12     7.39e-12     1.10e-11     2.68e-12
  146    18    10     5.37e-12     5.22e-12     4.48e-12     4.61e-12     8.38e-12     5.85e-12     4.66e-12     2.67e-12     1.58e-12     7.53e-12     5.58e-12     1.54e-11     1.45e-11     1.59e-12     7.89e-12     1.05e-11
  147    18    11     1.44e-11     8.96e-12     1.35e-11     1.27e-11     1.07e-11     6.57e-12     8.80e-12     1.54e-11     5.83e-12     9.35e-12     1.78e-11     1.74e-11     4.15e-13     3.37e-12     2.13e-11     1.77e-11
  148    18    12     6.77e-12     1.85e-11     1.35e-11     1.59e-11     9.53e-12     8.01e-13     1.07e-11     6.64e-12     1.91e-11     2.49e-11     1.76e-11     1.00e-11     1.08e-11     1.07e-11     1.07e-11     1.45e-11
  149    18    13     2.11e-11     2.56e-11     2.47e-11     1.43e-11     1.55e-11     1.84e-11     1.85e-11     2.75e-11     1.70e-11     2.59e-11     7.55e-12     9.16e-12     1.20e-11     3.07e-11     2.06e-11     2.38e-11
  150    18    14     2.92e-11     1.84e-11     5.16e-12     2.72e-11     1.73e-11     1.42e-11     3.45e-11     1.47e-11     2.13e-11     4.03e-11     4.87e-11     5.08e-11     3.64e-11     4.54e-11     1.06e-11     5.67e-11
  151    18    15     4.75e-11     5.57e-11     3.95e-11     5.20e-11     2.52e-11     3.21e-11     3.92e-11     3.52e-11     3.57e-11     2.40e-11     6.11e-11     4.38e-11     1.87e-13     3.97e-11     3.74e-11     2.10e-11
  152    18    16     6.78e-11     2.91e-11     2.88e-11     6.73e-11     5.82e-11     6.25e-11     4.57e-11     1.78e-11     7.42e-11     1.18e-10     1.45e-10     8.50e-11     8.54e-11     3.66e-12     8.97e-11     5.08e-11
  153    18    17     1.00e-10     8.26e-11     9.38e-11     4.82e-11     6.07e-11     6.36e-11     4.51e-11     5.08e-12     1.17e-10     8.07e-11     1.43e-10     4.95e-11     2.07e-11     4.60e-11     1.15e-10     6.06e-11
  154    19     1     5.32e-15     2.83e-15     2.37e-14     5.30e-14     8.96e-14     7.13e-14     1.10e-13     1.48e-13     1.47e-13     3.13e-14     2.15e-13     2.72e-13     2.33e-13     1.15e-13     2.38e-13     7.94e-14
  155    19     2     2.43e-14     6.77e-15     5.89e-14     2.69e-13     2.04e-13     4.35e-14     1.56e-13     6.30e-13     5.17e-13     3.63e-13     1.25e-12     6.12e-13     1.27e-12     7.36e-13     6.92e-13     1.02e-12
  156    19     3     4.11e-14     9.63e-14     1.67e-13     8.35e-14     1.23e-13     8.05e-13     3.66e-15     7.17e-13     6.20e-13     7.99e-13     1.16e-12     1.08e-12     1.29e-12     5.68e-13     1.17e-12     1.11e-12
  157    19     4     3.81e-14     1.40e-13     2.19e-14     3.15e-13     4.33e-13     2.20e-13     1.43e-13     1.97e-12     9.54e-13     1.67e-12     1.76e-12     1.45e-12     2.79e-12     2.21e-12     1.57e-12     3.20e-12
  158    19     5     3.51e-13     3.44e-13     5.94e-13     7.77e-13     9.16e-13     3.80e-13     1.21e-12     6.99e-13     8.86e-13     6.82e-13     1.58e-12     2.80e-12     5.07e-13     2.74e-12     4.00e-12     5.09e-12
  159    19     6     5.51e-13     7.51e-13     1.28e-12     1.19e-12     1.07e-12     2.17e-12     2.37e-12     1.72e-12     4.39e-12     9.03e-13     5.52e-13     4.36e-12     3.97e-12     2.93e-12     6.90e-12     3.12e-12
  160    19     7     9.24e-13     1.13e-12     2.30e-12     2.31e-12     2.61e-12     3.98e-13     2.22e-12     1.54e-12     3.80e-12     2.48e-12     5.63e-12     4.19e-12     1.28e-12     4.59e-12     3.55e-12     5.83e-12
  161    19     8     1.36e-12     1.78e-12     2.95e-12     3.89e-12     1.34e-12     3.78e-12     5.38e-12     3.86e-12     6.46e-12     6.75e-12     1.51e-12     6.94e-13     5.31e-12     6.04e-12     6.85e-12     7.48e-13
  162    19     9     3.44e-12     2.38e-12     2.67e-12     2.69e-12     4.62e-12     5.74e-12     4.94e-12     5.25e-12     5.14e-12     1.07e-11     6.91e-12     1.23e-11     4.60e-12     1.11e-11     8.19e-12     1.87e-12
  163    19    10     4.41e-12     5.40e-12     1.10e-11     4.93e-12     1.10e-11     8.82e-12     6.18e-12     5.36e-12     7.62e-12     7.68e-12     8.94e-12     1.98e-12     1.67e-11     9.28e-12     8.74e-12     1.76e-11
  164    19    11     4.60e-12     6.80e-13     1.35e-12     4.57e-12     6.34e-12     1.19e-11     1.87e-11     2.93e-12     3.12e-12     3.34e-12     1.23e-11     9.96e-12     1.44e-11     1.42e-11     1.29e-11     1.17e-11
  165    19    12     1.49e-11     6.70e-12     1.15e-11     1.23e-11     1.36e-11     1.42e-11     3.06e-12     2.17e-11     4.45e-12     9.31e-12     1.74e-11     1.68e-11     3.06e-11     7.74e-12     1.56e-11     2.41e-11
  166    19    13     1.50e-11     2.21e-11     1.17e-11     1.12e-12     2.17e-11     1.85e-11     2.87e-11     1.76e-11     1.38e-11     1.24e-11     1.99e-11     1.71e-11     1.00e-11     2.14e-11     2.32e-11     1.57e-11
  167    19    14     1.56e-11     1.50e-11     3.71e-11     2.35e-11     2.77e-12     3.22e-11     1.86e-12     1.77e-11     3.25e-11     4.26e-11     2.00e-11     1.31e-11     1.23e-11     5.04e-12     2.11e-11     3.10e-11
  168    19    15     3.01e-11     1.24e-11     2.10e-11     1.85e-11     3.96e-11     3.80e-11     3.43e-11     4.50e-11     2.21e-11     2.25e-11     2.04e-11     1.94e-11     2.98e-11     4.55e-12     2.71e-11     3.84e-11
  169    19    16     3.33e-11     4.26e-11     1.41e-11     2.04e-11     3.74e-11     5.49e-11     3.43e-11     5.40e-11     3.08e-11     3.22e-11     2.21e-11     3.30e-11     7.63e-12     9.21e-12     6.97e-11     4.45e-11
  170    19    17     3.73e-11     5.82e-11     3.06e-11     9.24e-11     4.33e-11     1.41e-11     5.05e-11     5.38e-11     3.29e-11     6.36e-11     6.67e-11     3.80e-11     1.21e-10     4.65e-11     1.50e-11     1.12e-10
  171    19    18     5.49e-11     1.61e-10     1.55e-10     7.64e-11     7.32e-11     7.24e-11     9.38e-11     9.62e-11     1.00e-10     7.17e-11     6.64e-11     1.17e-10     1.26e-11     5.66e-11     1.40e-10     1.84e-10
  172    20     1     1.58e-15     2.26e-15     5.36e-15     2.30e-14     3.59e-14     4.24e-14     7.77e-14     7.81e-14     2.03e-13     1.85e-13     2.12e-13     8.17e-15     2.44e-13     3.18e-13     1.23e-14     3.14e-13
  173    20     2     1.12e-14     1.31e-14     4.67e-14     5.00e-14     1.34e-13     1.25e-13     6.62e-14     1.62e-13     2.77e-13     2.14e-13     5.86e-13     6.06e-13     9.07e-13     5.11e-13     7.93e-13     5.95e-13
  174    20     3     3.57e-14     2.34e-14     9.23e-14     2.10e-13     3.35e-13     6.97e-14     4.37e-13     4.72e-13     4.78e-13     3.97e-13     4.36e-13     1.13e-12     1.22e-12     4.62e-13     1.75e-12     9.70e-13
  175    20     4     9.83e-14     1.10e-13     2.95e-13     3.47e-13     5.04e-13     1.10e-12     3.46e-13     2.14e-13     2.09e-14     1.71e-12     1.63e-12     7.62e-13     2.73e-13     1.79e-12     6.34e-14     1.39e-12
  176    20     5     1.15e-13     1.47e-13     3.24e-13     6.59e-13     3.89e-13     2.41e-13     1.46e-12     2.45e-12     1.19e-12     1.86e-12     1.03e-12     2.49e-12     1.19e-12     2.38e-12     1.28e-12     3.33e-12
  177    20     6     2.05e-13     3.56e-13     6.72e-13     4.10e-13     7.64e-13     1.46e-12     2.36e-12     1.81e-12     3.27e-12     4.70e-12     1.98e-12     1.05e-12     1.07e-12     3.44e-12     5.90e-14     1.89e-12
  178    20     7     1.25e-12     6.04e-13     1.09e-12     1.78e-12     6.60e-13     2.06e-12     3.46e-12     6.05e-13     1.19e-12     3.84e-12     3.40e-12     3.50e-12     4.46e-12     2.87e-12     6.35e-12     4.15e-12
  179    20     8     7.96e-13     2.12e-12     2.65e-12     7.18e-13     2.81e-12     4.12e-12     2.67e-12     2.75e-12     5.46e-12     6.22e-12     3.39e-12     7.97e-12     5.73e-12     5.40e-12     5.13e-12     1.69e-12
  180    20     9     2.39e-12     2.61e-12     2.94e-12     3.41e-12     3.51e-12     4.12e-12     6.54e-12     3.15e-12     1.84e-12     4.58e-12     2.27e-12     3.31e-12     3.75e-12     4.94e-12     4.49e-12     6.54e-12
  181    20    10     4.01e-12     2.37e-12     4.07e-12     1.54e-12     3.92e-12     7.76e-12     2.16e-12     5.63e-12     5.80e-12     5.82e-12     3.31e-12     4.81e-12     4.87e-12     4.59e-12     6.50e-12     6.88e-12
  182    20    11     3.99e-12     5.09e-12     8.25e-12     3.66e-12     7.96e-13     7.28e-12     1.10e-11     7.13e-12     8.34e-12     7.18e-12     6.61e-12     7.05e-12     9.13e-12     9.89e-12     3.26e-12     1.20e-11
  183    20    12     6.63e-12     9.30e-12     8.88e-12     1.08e-11     9.55e-12     9.33e-12     9.29e-12     7.00e-12     1.22e-11     1.09e-11     1.57e-11     1.11e-11     5.64e-12     5.34e-12     1.04e-11     9.90e-12
  184    20    13     1.45e-11     1.12e-11     2.00e-11     6.61e-12     4.33e-12     1.67e-11     1.29e-11     5.56e-12     1.24e-11     2.32e-11     9.51e-12     6.11e-12     1.17e-11     7.83e-12     1.45e-11     4.46e-12
  185    20    14     4.20e-12     2.11e-11     1.41e-11     1.14e-11     2.06e-11     2.40e-11     2.24e-11     1.33e-11     1.74e-11     3.84e-11     1.48e-11     3.05e-11     7.08e-12     8.09e-12     1.15e-11     2.55e-11
  186    20    15     4.71e-11     4.20e-11     3.34e-11     2.05e-12     2.49e-11     2.84e-12     3.03e-11     1.08e-11     2.20e-11     1.58e-11     6.38e-12     3.24e-11     2.25e-11     9.86e-12     3.53e-11     2.84e-11
  187    20    16     3.58e-11     1.30e-11     1.33e-11     2.25e-11     2.65e-11     3.30e-11     4.55e-11     1.71e-11     9.01e-12     3.14e-11     2.58e-11     1.95e-11     9.58e-12     2.25e-12     5.80e-11     2.50e-11
  188    20    17     4.70e-11     5.30e-11     4.51e-12     5.42e-11     1.03e-11     6.74e-11     4.80e-11     4.40e-11     5.56e-11     5.43e-11     4.58e-11     6.62e-12     4.57e-11     3.43e-11     4.52e-11     6.33e-12
  189    20    18     4.04e-11     2.53e-11     6.39e-11     5.27e-11     4.60e-11     2.21e-11     5.79e-11     7.35e-11     1.13e-10     1.09e-10     8.47e-11     1.49e-10     1.39e-10     1.38e-10     3.06e-11     3.40e-11
  190    20    19     2.22e-11     2.21e-11     1.19e-10     1.11e-10     7.21e-11     6.27e-11     3.69e-11     9.42e-11     7.65e-11     8.87e-11     1.59e-10     2.74e-11     1.40e-10     4.30e-11     6.46e-11     9.38e-11
  191    21     1     1.52e-15     3.63e-15     4.40e-15     2.59e-15     1.84e-14     2.08e-15     8.07e-14     1.21e-13     9.43e-14     1.22e-13     1.16e-13     1.94e-13     3.51e-13     2.32e-13     1.12e-13     3.14e-13
  192    21     2     4.64e-15     1.09e-14     2.63e-14     2.12e-14     5.22e-14     6.94e-14     2.03e-13     1.21e-13     3.18e-13     4.05e-13     5.61e-13     6.01e-13     8.06e-13     4.42e-13     3.12e-13     1.03e-12
  193    21     3     2.32e-15     2.22e-14     3.96e-14     1.19e-13     2.63e-13     3.13e-13     4.86e-13     5.90e-14     6.29e-13     2.54e-13     4.47e-13     1.17e-12     3.47e-13     2.58e-13     1.49e-12     7.50e-13
  194    21     4     5.82e-14     1.24e-13     1.43e-13     6.99e-14     3.58e-13     3.57e-13     7.07e-13     6.51e-13     6.05e-13     6.06e-13     1.41e-12     1.79e-12     5.39e-13     2.78e-12     1.35e-12     1.06e-12
  195    21     5     7.10e-14     1.66e-13     1.50e-13     3.25e-13     6.48e-13     7.20e-13     1.14e-12     6.58e-13     1.21e-12     7.97e-13     1.48e-12     2.03e-12     1.00e-12     2.42e-12     3.24e-12     2.66e-12
  196    21     6     1.65e-14     2.12e-13     3.56e-13     6.65e-13     1.39e-12     1.48e-12     1.63e-12     2.06e-12     1.69e-12     7.13e-13     1.50e-12     1.23e-12     2.36e-12     6.76e-13     2.92e-12     2.49e-12
  197    21     7     4.54e-13     7.24e-13     2.79e-13     8.76e-13     8.97e-13     2.06e-12     1.78e-12     1.87e-12     2.17e-12     1.36e-12     2.13e-12     6.88e-13     3.28e-12     1.58e-12     8.09e-13     2.27e-12
  198    21     8     9.54e-13     6.71e-13     1.19e-12     1.52e-12     1.56e-12     1.49e-12     2.43e-12     4.87e-12     2.42e-12     7.66e-13     1.70e-12     4.44e-12     1.80e-13     5.01e-12     8.26e-12     4.92e-12
  199    21     9     1.68e-12     1.79e-12     6.24e-13     2.09e-12     4.30e-12     3.57e-12     3.98e-12     5.73e-13     3.64e-12     1.64e-12     3.33e-12     5.56e-12     9.19e-12     5.44e-12     3.47e-12     6.53e-12
  200    21    10     1.87e-12     3.84e-12     3.01e-13     2.13e-13     3.56e-12     5.62e-12     3.79e-12     5.33e-13     6.24e-12     8.35e-12     9.36e-12     1.22e-12     4.88e-12     1.78e-14     4.68e-12     1.90e-12
  201    21    11     4.15e-12     4.82e-12     7.61e-12     4.71e-12     4.48e-12     7.60e-12     4.82e-12     6.73e-12     6.95e-12     6.25e-12     1.03e-11     8.69e-12     3.02e-12     4.92e-12     8.78e-12     4.96e-12
  202    21    12     8.45e-12     6.71e-12     8.97e-12     2.06e-12     5.64e-12     7.40e-12     2.64e-12     9.31e-12     1.40e-11     3.44e-12     7.43e-12     1.11e-11     1.13e-11     9.54e-12     1.05e-11     7.31e-12
  203    21    13     8.32e-12     6.35e-12     9.84e-13     1.09e-11     1.17e-11     8.68e-12     2.76e-12     8.50e-12     4.60e-12     6.24e-12     1.07e-11     1.24e-11     2.93e-12     2.27e-11     8.68e-12     1.79e-11
  204    21    14     1.93e-11     1.78e-11     1.78e-11     1.76e-11     6.01e-12     1.84e-11     1.01e-11     3.40e-12     1.67e-11     1.05e-11     1.88e-11     1.72e-11     1.21e-12     9.69e-12     7.40e-12     1.61e-12
  205    21    15     1.45e-11     1.79e-11     1.87e-11     1.00e-11     1.63e-11     1.27e-11     1.75e-11     1.55e-11     1.12e-11     2.40e-11     1.74e-11     2.25e-11     2.17e-11     2.03e-11     2.73e-11     1.10e-11
  206    21    16     7.08e-12     1.01e-11     5.84e-12     1.18e-11     1.17e-11     5.72e-12     1.52e-11     1.67e-11     2.30e-11     1.59e-11     1.01e-11     1.49e-11     1.68e-11     1.86e-11     3.68e-12     2.83e-11
  207    21    17     2.72e-11     2.79e-11     2.35e-11     2.49e-11     2.25e-11     2.62e-11     3.96e-11     8.18e-13     1.40e-11     1.43e-11     1.11e-11     5.09e-11     5.91e-12     2.05e-11     4.02e-11     2.01e-11
  208    21    18     3.54e-11     4.90e-12     4.64e-11     5.46e-11     2.27e-11     1.64e-11     1.36e-11     4.61e-11     5.09e-11     3.90e-13     3.08e-11     5.45e-11     4.18e-11     3.65e-11     4.56e-11     2.85e-11
  209    21    19     4.10e-11     1.03e-11     4.28e-11     6.05e-11     1.81e-11     4.11e-11     4.30e-11     7.12e-11     6.97e-11     1.08e-10     2.71e-11     4.95e-11     1.25e-10     1.07e-10     1.02e-10     1.48e-10
  210    21    20     1.52e-10     6.91e-11     3.62e-11     7.97e-11     8.21e-11     1.30e-10     8.58e-11     8.68e-11     2.21e-11     4.04e-11     1.18e-10     3.82e-11     7.75e-11     4.65e-11     1.07e-10     3.29e-11
  211    22     1     1.09e-15     1.83e-15     4.48e-15     1.23e-14     2.47e-14     3.30e-14     2.47e-14     7.09e-14     9.75e-14     1.15e-13     9.11e-14     1.46e-13     1.54e-13     2.20e-13     1.44e-13     1.77e-13
  212    22     2     4.51e-15     6.91e-15     1.52e-14     1.14e-14     8.86e-14     2.29e-14     1.10e-13     1.29e-13     1.60e-13     3.41e-13     2.05e-13     1.44e-13     2.11e-13     2.48e-14     3.50e-14     6.03e-13
  213    22     3     1.06e-14     1.57e-14     5.37e-14     4.00e-14     5.36e-14     1.53e-13     1.91e-13     7.67e-14     1.10e-13     1.23e-13     8.65e-14     1.00e-12     1.26e-12     1.07e-12     1.44e-12     8.08e-13
  214    22     4     2.42e-14     3.65e-14     5.62e-14     1.10e-14     3.61e-13     1.97e-13     4.60e-13     8.54e-13     5.61e-13     1.16e-12     1.43e-12     1.04e-12     1.29e-12     1.26e-12     1.04e-12     1.53e-12
  215    22     5     8.60e-14     2.06e-14     1.51e-13     1.86e-13     4.37e-13     5.76e-13     1.06e-12     4.98e-13     8.83e-13     1.07e-12     4.15e-13     2.07e-12     1.02e-12     1.47e-12     7.22e-13     1.44e-12
  216    22     6     2.24e-13     2.88e-14     4.33e-13     5.70e-13     4.63e-13     9.01e-13     1.35e-12     1.02e-12     1.79e-12     9.38e-13     8.28e-13     2.79e-12     1.91e-12     1.29e-12     1.87e-12     3.92e-12
  217    22     7     1.19e-13     3.08e-13     5.72e-13     3.55e-13     7.62e-13     1.46e-12     1.29e-12     3.07e-12     9.08e-13     2.37e-12     1.74e-12     9.43e-14     1.55e-12     1.49e-12     6.69e-13     3.57e-12
  218    22     8     6.18e-13     6.47e-13     1.61e-12     1.29e-12     2.96e-12     2.09e-12     2.62e-12     1.78e-12     2.40e-12     2.54e-12     1.64e-12     1.61e-12     4.70e-12     3.59e-12     2.93e-12     6.98e-12
  219    22     9     4.29e-13     8.82e-13     2.62e-12     1.64e-12     3.06e-12     1.45e-13     4.20e-12     2.95e-12     1.60e-12     2.47e-12     1.61e-12     3.81e-12     3.73e-12     4.06e-12     5.66e-12     4.55e-12
  220    22    10     1.57e-12     2.11e-12     2.66e-12     1.91e-12     7.59e-13     3.93e-12     3.46e-12     2.56e-12     3.82e-12     6.93e-12     2.29e-13     5.51e-12     6.68e-12     5.89e-12     1.15e-12     5.02e-12
  221    22    11     1.90e-12     3.92e-12     3.58e-12     4.07e-12     4.26e-12     4.47e-12     8.30e-12     7.89e-12     6.16e-13     1.11e-11     5.22e-12     6.91e-12     4.17e-12     6.78e-12     5.95e-12     3.63e-12
  222    22    12     2.99e-12     3.97e-12     1.10e-12     5.44e-12     4.62e-12     5.89e-12     2.21e-12     3.02e-12     4.52e-12     9.24e-12     1.14e-11     9.74e-12     3.34e-12     5.28e-12     5.53e-12     1.68e-12
